,gen_loss,real_acc,fake_acc,fake_loss,real_loss
55,"tf.Tensor(1.8025597, shape=(), dtype=float32)","tf.Tensor(87.645, shape=(), dtype=float32)","tf.Tensor(93.2955, shape=(), dtype=float32)","tf.Tensor(0.27352837, shape=(), dtype=float32)","tf.Tensor(0.31234148, shape=(), dtype=float32)"
56,"tf.Tensor(1.6858968, shape=(), dtype=float32)","tf.Tensor(86.7765, shape=(), dtype=float32)","tf.Tensor(91.8655, shape=(), dtype=float32)","tf.Tensor(0.30673844, shape=(), dtype=float32)","tf.Tensor(0.33617428, shape=(), dtype=float32)"
57,"tf.Tensor(1.5774233, shape=(), dtype=float32)","tf.Tensor(82.969, shape=(), dtype=float32)","tf.Tensor(88.657, shape=(), dtype=float32)","tf.Tensor(0.3522314, shape=(), dtype=float32)","tf.Tensor(0.38964006, shape=(), dtype=float32)"
58,"tf.Tensor(1.602282, shape=(), dtype=float32)","tf.Tensor(83.952, shape=(), dtype=float32)","tf.Tensor(89.685, shape=(), dtype=float32)","tf.Tensor(0.3368581, shape=(), dtype=float32)","tf.Tensor(0.37294397, shape=(), dtype=float32)"
59,"tf.Tensor(1.4912066, shape=(), dtype=float32)","tf.Tensor(84.241, shape=(), dtype=float32)","tf.Tensor(89.5205, shape=(), dtype=float32)","tf.Tensor(0.35614175, shape=(), dtype=float32)","tf.Tensor(0.38467872, shape=(), dtype=float32)"
60,"tf.Tensor(1.6075349, shape=(), dtype=float32)","tf.Tensor(85.028, shape=(), dtype=float32)","tf.Tensor(90.413, shape=(), dtype=float32)","tf.Tensor(0.3318939, shape=(), dtype=float32)","tf.Tensor(0.36488196, shape=(), dtype=float32)"
61,"tf.Tensor(1.6793432, shape=(), dtype=float32)","tf.Tensor(86.635, shape=(), dtype=float32)","tf.Tensor(91.8785, shape=(), dtype=float32)","tf.Tensor(0.30659354, shape=(), dtype=float32)","tf.Tensor(0.33994678, shape=(), dtype=float32)"
62,"tf.Tensor(1.6265529, shape=(), dtype=float32)","tf.Tensor(85.3795, shape=(), dtype=float32)","tf.Tensor(90.682, shape=(), dtype=float32)","tf.Tensor(0.32293066, shape=(), dtype=float32)","tf.Tensor(0.35463062, shape=(), dtype=float32)"
63,"tf.Tensor(1.6448685, shape=(), dtype=float32)","tf.Tensor(85.158, shape=(), dtype=float32)","tf.Tensor(90.926, shape=(), dtype=float32)","tf.Tensor(0.3164501, shape=(), dtype=float32)","tf.Tensor(0.353879, shape=(), dtype=float32)"
64,"tf.Tensor(1.5183218, shape=(), dtype=float32)","tf.Tensor(84.6485, shape=(), dtype=float32)","tf.Tensor(90.1815, shape=(), dtype=float32)","tf.Tensor(0.34430808, shape=(), dtype=float32)","tf.Tensor(0.3761192, shape=(), dtype=float32)"
65,"tf.Tensor(1.5202997, shape=(), dtype=float32)","tf.Tensor(82.401, shape=(), dtype=float32)","tf.Tensor(87.9935, shape=(), dtype=float32)","tf.Tensor(0.3614009, shape=(), dtype=float32)","tf.Tensor(0.40111834, shape=(), dtype=float32)"
66,"tf.Tensor(1.5390233, shape=(), dtype=float32)","tf.Tensor(81.835, shape=(), dtype=float32)","tf.Tensor(86.6845, shape=(), dtype=float32)","tf.Tensor(0.36892825, shape=(), dtype=float32)","tf.Tensor(0.40706176, shape=(), dtype=float32)"
67,"tf.Tensor(1.5302448, shape=(), dtype=float32)","tf.Tensor(82.6345, shape=(), dtype=float32)","tf.Tensor(87.9035, shape=(), dtype=float32)","tf.Tensor(0.3630288, shape=(), dtype=float32)","tf.Tensor(0.40352905, shape=(), dtype=float32)"
68,"tf.Tensor(1.3195406, shape=(), dtype=float32)","tf.Tensor(77.3355, shape=(), dtype=float32)","tf.Tensor(83.3705, shape=(), dtype=float32)","tf.Tensor(0.43899724, shape=(), dtype=float32)","tf.Tensor(0.48047477, shape=(), dtype=float32)"
69,"tf.Tensor(1.3714837, shape=(), dtype=float32)","tf.Tensor(80.5045, shape=(), dtype=float32)","tf.Tensor(85.6085, shape=(), dtype=float32)","tf.Tensor(0.40422684, shape=(), dtype=float32)","tf.Tensor(0.43803883, shape=(), dtype=float32)"
70,"tf.Tensor(1.4061397, shape=(), dtype=float32)","tf.Tensor(83.003, shape=(), dtype=float32)","tf.Tensor(88.146, shape=(), dtype=float32)","tf.Tensor(0.3834129, shape=(), dtype=float32)","tf.Tensor(0.4082996, shape=(), dtype=float32)"
71,"tf.Tensor(1.6238109, shape=(), dtype=float32)","tf.Tensor(86.457, shape=(), dtype=float32)","tf.Tensor(91.407, shape=(), dtype=float32)","tf.Tensor(0.3186422, shape=(), dtype=float32)","tf.Tensor(0.3475936, shape=(), dtype=float32)"
72,"tf.Tensor(1.5504057, shape=(), dtype=float32)","tf.Tensor(83.715, shape=(), dtype=float32)","tf.Tensor(88.8875, shape=(), dtype=float32)","tf.Tensor(0.3518034, shape=(), dtype=float32)","tf.Tensor(0.38675654, shape=(), dtype=float32)"
73,"tf.Tensor(1.5739468, shape=(), dtype=float32)","tf.Tensor(86.443, shape=(), dtype=float32)","tf.Tensor(92.1615, shape=(), dtype=float32)","tf.Tensor(0.32002178, shape=(), dtype=float32)","tf.Tensor(0.34924203, shape=(), dtype=float32)"
74,"tf.Tensor(1.4717938, shape=(), dtype=float32)","tf.Tensor(81.611, shape=(), dtype=float32)","tf.Tensor(86.1615, shape=(), dtype=float32)","tf.Tensor(0.38359535, shape=(), dtype=float32)","tf.Tensor(0.4168868, shape=(), dtype=float32)"
75,"tf.Tensor(1.4114169, shape=(), dtype=float32)","tf.Tensor(80.881, shape=(), dtype=float32)","tf.Tensor(85.796, shape=(), dtype=float32)","tf.Tensor(0.39614236, shape=(), dtype=float32)","tf.Tensor(0.42867362, shape=(), dtype=float32)"
76,"tf.Tensor(1.5439668, shape=(), dtype=float32)","tf.Tensor(83.9315, shape=(), dtype=float32)","tf.Tensor(88.7915, shape=(), dtype=float32)","tf.Tensor(0.3522427, shape=(), dtype=float32)","tf.Tensor(0.3823946, shape=(), dtype=float32)"
